price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,rate
1.35E+06,3,2.5,2753,65005,1,1,2,5,9,2165,588,1953,0,490.3741373
655000,2,1.75,1450,15798,2,1,4,3,7,1230,220,1915,1978,451.7241379
2.40E+06,4,2.5,3650,8354,1,1,4,3,9,1830,1820,2000,0,657.5342466
369900,1,0.75,760,10079,1,1,4,5,5,760,0,1936,0,486.7105263
3.08E+06,4,5,4550,18641,1,1,4,3,10,2600,1950,2002,0,675.8241758
705000,3,3,1970,20978,2,1,3,4,9,1770,200,1980,0,357.8680203
2.13E+06,3,2.5,5403,24069,2,1,4,4,12,5403,0,1976,0,393.3000185
3.07E+06,3,2.5,3930,55867,1,1,4,4,8,2330,1600,1957,0,781.1704835
825000,2,1,1150,12775,1,1,4,4,6,1150,0,1908,0,717.3913043
1.96E+06,4,2.75,3120,7898,1,1,4,4,8,1560,1560,1963,0,626.6025641
290000,2,0.75,440,8313,1,1,3,4,5,440,0,1943,0,659.0909091
2.20E+06,5,4.25,4640,22703,2,1,4,5,8,2860,1780,1952,0,474.137931
1.18E+06,2,2.5,1770,7155,2,1,4,3,8,1770,0,1957,2004,663.8418079
1.70E+06,4,3.75,3190,17186,2,1,4,3,10,3190,0,1999,0,532.9153605
530000,3,0.75,920,20412,1,1,2,5,6,920,0,1950,0,576.0869565
960000,3,2.5,1730,4102,3,1,4,3,8,1730,0,1996,0,554.9132948
480000,2,1.5,1008,26487,1,1,4,4,6,1008,0,1943,2002,476.1904762
1.20E+06,3,1.75,1560,8078,1.5,1,4,4,6,1560,0,1928,0,769.2307692
3.85E+06,4,4.25,5770,21300,2,1,4,4,11,5770,0,1980,0,667.2443674
1.70E+06,5,2,2500,15250,2,1,4,5,8,2500,0,1942,0,680
1.65E+06,3,2.75,2690,8890,2,1,4,4,10,2690,0,1975,1991,613.3828996
1.37E+06,2,3.25,2700,3444,3,1,3,3,9,2700,0,1990,0,505.5555556
3.60E+06,3,3.25,5020,12431,2,1,4,3,10,3420,1600,1941,2002,717.1314741
999000,3,2.75,2830,505166,1,1,3,4,8,1830,1000,1962,0,353.0035336
1.90E+06,2,2.75,3690,32044,2,1,4,3,12,3690,0,1989,0,514.6341463
700000,2,1,1160,17635,1,1,4,3,6,1160,0,1945,0,603.4482759
1.00E+06,5,4.5,2120,8944,2,1,4,5,8,2120,0,1939,1963,471.6981132
1.38E+06,3,3.25,3786,38038,1,1,4,3,9,1934,1852,1978,2006,364.4743793
2.40E+06,3,2.25,3000,11665,1.5,1,4,3,11,3000,0,2001,0,800
1.88E+06,3,2.5,3280,29111,2,1,3,3,11,3280,0,1925,0,571.6463415
1.57E+06,4,2.25,2890,18226,3,1,4,3,10,2890,0,1984,0,543.2525952
1.16E+06,3,2.5,2490,24691,1,1,4,4,9,1580,910,1961,0,463.8554217
1.15E+06,3,2.75,3230,75889,2,1,4,3,7,3230,0,1925,1993,356.0371517
1.71E+06,3,3,2490,27702,2,1,4,3,10,2490,0,2000,0,684.7389558
1.34E+06,3,2.75,2730,38869,1.5,1,4,3,9,1940,790,1963,2001,490.3846154
2.00E+06,5,4,4580,4443,3,1,4,3,10,4580,0,2004,0,436.6812227
2.49E+06,4,2.5,3440,23954,1.5,1,3,5,10,2260,1180,1931,0,722.3837209
1.85E+06,5,2.25,2800,8442,2,1,4,3,9,2800,0,1963,2001,660.7142857
1.60E+06,3,2.5,2850,19593,1.5,1,4,3,10,1790,1060,1978,0,561.4035088
1.52E+06,3,2.25,2610,9409,1,1,4,4,8,2610,0,1963,0,581.2260536
1.85E+06,4,2.5,3830,11972,1,1,4,3,11,2370,1460,1981,0,483.0287206
2.20E+06,5,4.75,5990,10450,2,1,4,3,11,4050,1940,2002,0,367.278798
2.90E+06,5,2.5,3750,91681,2,1,4,3,10,3750,0,1925,0,774.1333333
1.34E+06,4,3.75,2130,34689,1.5,1,4,3,9,2130,0,1955,0,628.6384977
3.65E+06,6,4.75,5480,19401,1.5,1,4,5,11,3910,1570,1936,0,666.0583942
2.70E+06,5,2.75,3831,13800,2,1,4,3,9,3831,0,1959,1980,704.7768207
3.10E+06,3,3,3920,13085,2,1,4,4,11,3920,0,1996,0,790.8163265
1.15E+06,3,1.5,2170,16600,1,1,2,3,10,1130,1040,1979,0,529.9539171
2.15E+06,3,2.75,3470,9610,3,1,4,3,11,3470,0,1989,2000,619.5965418
1.90E+06,4,2.25,3020,11489,1.5,1,3,5,10,2110,910,1916,1988,629.1390728
3.40E+06,3,4.5,5230,17826,2,1,4,3,10,3740,1490,2005,0,650.0956023
1.85E+06,4,2.5,4120,14866,1,1,4,3,8,2070,2050,1965,0,449.2718447
1.45E+06,2,3.25,2070,3128,2,1,3,3,9,1760,310,1988,0,701.4492754
949950,5,2.5,2340,1989,2,1,4,3,8,2340,0,1959,0,405.9615385
1.25E+06,1,1.25,1810,5070,1.5,1,4,4,8,1230,580,1967,0,688.9502762
1.80E+06,3,3,2790,13295,2,1,4,4,10,2370,420,1933,1989,645.1612903
1.08E+06,2,3.25,1550,1767,3,1,3,3,8,1550,0,2006,0,693.5483871
1.36E+06,2,1.75,2620,14138,2,1,4,3,8,2120,500,1931,1991,519.0839695
1.96E+06,3,1.75,3330,12566,1,1,4,4,8,1940,1390,1960,0,587.0870871
1.19E+06,2,1.75,2080,8112,1,1,4,4,8,1040,1040,1939,1984,572.1153846
629000,3,1.75,1460,12367,2,1,4,4,8,1120,340,1970,0,430.8219178
985000,2,2.5,2720,26761,2,1,4,3,7,2720,0,1990,0,362.1323529
2.70E+06,5,4,4230,27295,2,1,4,3,8,3230,1000,1949,1985,638.2978723
3.12E+06,3,3.5,4490,56609,2,1,4,3,12,4490,0,1993,0,694.8775056
1.58E+06,3,3,2610,22672,1.5,1,4,4,8,2610,0,1952,0,603.4482759
1.66E+06,4,2.75,3520,19200,1,1,4,4,9,1950,1570,1951,0,472.1590909
1.18E+06,3,2.5,1970,23180,1,1,4,3,8,1100,870,1937,1998,596.4467005
2.56E+06,4,2.5,5300,26211,2,1,2,2,10,4570,730,1923,0,482.0754717
3.00E+06,4,4.25,4850,12445,2,1,4,5,10,3850,1000,1989,0,618.556701
2.30E+06,4,3.25,4110,15929,2,1,4,3,12,2720,1390,2001,0,559.6107056
2.75E+06,4,4,4130,5575,2,1,4,4,10,2860,1270,1993,0,665.8595642
770000,3,3.5,2050,21744,2,1,4,4,9,1750,300,1930,0,375.6097561
1.90E+06,6,4,3020,13237,2,1,4,3,8,2840,180,1942,1983,629.1390728
2.00E+06,3,2.5,3490,21064,1,1,4,3,10,2290,1200,1968,0,573.0659026
685000,4,1,1550,15239,1.5,1,4,3,6,1370,180,1930,0,441.9354839
2.60E+06,4,4.5,5270,12195,2,1,4,3,11,3400,1870,1979,0,493.3586338
649000,3,2,1810,17006,2,1,4,3,8,1810,0,1913,1987,358.5635359
3.40E+06,4,3.5,4730,47870,1,1,4,3,10,2940,1790,1954,0,717.7589852
600000,2,1.75,1550,7764,1,1,4,4,8,1550,0,1965,1986,387.0967742
2.23E+06,3,3,3620,28064,2,1,4,5,10,2370,1250,1977,0,616.0220994
